"","c..d1.MZ619041.1....d1.MZ229304.1....d1.MZ229305.1....d1.MZ312926.1..."
"2403","d1.GU131754.1"
"2404","d1.GU131755.1"
"2405","d1.GU131759.1"
"2406","d1.GU131758.1"
"2407","d1.GU131757.1"
"2408","d1.GU131760.1"
"2409","d1.GU131761.1"
"2410","d1.GU131762.1"
"2411","d1.GU131763.1"
"2412","d1.GU131768.1"
"2413","d1.GU131764.1"
"2414","d1.GU131766.1"
"2415","d1.GU131770.1"
"2416","d1.GU131767.1"
"2417","d1.GU131765.1"
"2418","d1.GU131769.1"
"2419","d1.GU131771.1"
"2420","d1.GU131772.1"
"2421","d1.GU131774.1"
"2422","d1.GU131773.1"
"2423","d1.GU131775.1"
"2424","d1.GU131776.1"
"2425","d1.GU131777.1"
"2426","d1.GU131779.1"
"2427","d1.GU131778.1"
"2428","d1.GU131781.1"
"2429","d1.GU131780.1"
"2430","d1.GU131783.1"
"2431","d1.GU131784.1"
"2432","d1.GU131782.1"
"2433","d1.GU131785.1"
"2434","d1.GU131786.1"
"2435","d1.GU131787.1"
"2436","d1.GU131789.1"
"2437","d1.GU131788.1"
"2438","d1.GU131790.1"
"2439","d1.GU131791.1"
"2440","d1.GU131793.1"
"2441","d1.GU131794.1"
"2442","d1.GU131795.1"
"2443","d1.GU131796.1"
"2444","d1.GU131797.1"
"2445","d1.GU131798.1"
"2446","d1.GU131792.1"
"2447","d1.GU131799.1"
"2448","d1.GU131801.1"
"2449","d1.GU131800.1"
"2450","d1.GU131802.1"
"2451","d1.GU131803.1"
"2452","d1.GU131805.1"
"2453","d1.GU131804.1"
"2454","d1.GU131808.1"
"2455","d1.GU131807.1"
"2456","d1.GU131809.1"
"2457","d1.GU131806.1"
"2458","d1.GU131810.1"
"2459","d1.GU131812.1"
"2460","d1.GU131811.1"
"2461","d1.GU131813.1"
"2462","d1.GU131814.1"
"2463","d1.GU131815.1"
"2464","d1.GU131816.1"
"2465","d1.GU131818.1"
"2466","d1.GU131820.1"
"2467","d1.GU131821.1"
"2468","d1.GU131819.1"
"2469","d1.GU131822.1"
"2470","d1.GU131823.1"
"2471","d1.GU131824.1"
"2472","d1.GU131825.1"
"2473","d1.GU131826.1"
"2474","d1.GU131817.1"
"2475","d1.GU131828.1"
"2476","d1.GU131827.1"
"2477","d1.GU131830.1"
"2478","d1.GU131829.1"
"2479","d1.GU131831.1"
"2480","d1.GU131832.1"
"2481","d1.GU131833.1"
"2482","d1.GU131835.1"
"2483","d1.GU131836.1"
"2484","d1.GU131834.1"
"2485","d1.GU131837.1"
"2486","d1.GU131838.1"
"2487","d1.GU131839.1"
"2488","d1.GU131840.1"
"2489","d1.GU131841.1"
"2490","d1.GU131842.1"
"2491","d1.GU131889.1"
"2492","d1.GU131887.1"
"2493","d1.GU131888.1"
"2494","d1.GU131863.1"
"2495","d1.GU131890.1"
"2496","d1.GU131893.1"
"2497","d1.GU131891.1"
"2498","d1.GU131892.1"
"2499","d1.GU131894.1"
"2500","d1.GU131895.1"
"2501","d1.GU131919.1"
"2502","d1.GU131920.1"
"2503","d1.GU131921.1"
"2504","d1.GU131922.1"
"2505","d1.GU131926.1"
"2506","d1.GU131923.1"
"2507","d1.FJ469909.1"
"2508","d1.GU131925.1"
"2509","d1.FJ469908.1"
"2510","d1.FJ469907.1"
"2511","d1.GQ868498.1"
"2512","d1.GQ868499.1"
"2513","d1.GQ868501.1"
"2514","d1.GQ868504.1"
"2515","d1.GQ868500.1"
"2516","d1.GQ868503.1"
"2517","d1.GQ868505.1"
"2518","d1.GQ868502.1"
"2519","d1.GQ868506.1"
"2520","d1.GQ868508.1"
"2521","d1.GQ868507.1"
"2522","d1.GQ868510.1"
"2523","d1.GQ868511.1"
"2524","d1.GQ868509.1"
"2525","d1.GQ868512.1"
"2526","d1.GQ868513.1"
"2527","d1.GQ868514.1"
"2528","d1.GQ868517.1"
"2529","d1.GQ868518.1"
"2530","d1.GQ868519.1"
"2531","d1.GQ868520.1"
"2532","d1.GQ868521.1"
"2533","d1.GQ868522.1"
"2534","d1.GQ868523.1"
"2535","d1.GQ868524.1"
"2536","d1.GQ868525.1"
"2537","d1.GQ868526.1"
"2538","d1.GQ868527.1"
"2539","d1.GQ868528.1"
"2540","d1.GQ868530.1"
"2541","d1.GQ868529.1"
"2542","d1.GQ868531.1"
"2543","d1.GQ868532.1"
"2544","d1.GQ868534.1"
"2545","d1.GQ868533.1"
"2546","d1.GQ868535.1"
"2547","d1.GQ868537.1"
"2548","d1.GQ868536.1"
"2549","d1.GQ868539.1"
"2550","d1.GQ868559.1"
"2551","d1.GQ868538.1"
"2552","d1.GQ868560.1"
"2553","d1.GQ868561.1"
"2554","d1.GQ868562.1"
"2555","d1.GQ868565.1"
"2556","d1.GQ868564.1"
"2557","d1.GQ868567.1"
"2558","d1.GQ868563.1"
"2559","d1.GQ868566.1"
"2560","d1.GQ868569.1"
"2561","d1.GQ868568.1"
"2562","d1.GQ868570.1"
"2563","d1.GQ868602.1"
"2564","d1.GQ868605.1"
"2565","d1.GQ868601.1"
"2566","d1.GQ868606.1"
"2567","d1.GQ868607.1"
"2568","d1.GQ868608.1"
"2569","d1.GQ868609.1"
"2570","d1.GQ868610.1"
"2571","d1.GQ868611.1"
"2572","d1.GQ868612.1"
"2573","d1.GQ868614.1"
"2574","d1.GQ868613.1"
"2575","d1.GQ868615.1"
"2576","d1.GQ868618.1"
"2577","d1.GQ868632.1"
"2578","d1.GQ868630.1"
"2579","d1.GQ868619.1"
"2580","d1.GQ868633.1"
"2581","d1.GQ868635.1"
"2582","d1.GQ868637.1"
"2583","d1.GQ868636.1"
"2584","d1.GQ199772.1"
"2585","d1.GQ868639.1"
"2586","d1.GQ199771.1"
"2587","d1.AB519681.1"
"2588","d1.GQ199773.1"
"2589","d1.GQ199775.1"
"2590","d1.GQ199774.1"
"2591","d1.GQ199776.1"
"2592","d1.GQ199778.1"
"2593","d1.GQ199777.1"
"2594","d1.GQ199779.1"
"2595","d1.GQ199781.1"
"2596","d1.GQ199780.1"
"2597","d1.GQ199782.1"
"2598","d1.GQ199784.1"
"2599","d1.GQ199783.1"
"2600","d1.GQ199786.1"
"2601","d1.GQ199787.1"
"2602","d1.GQ199785.1"
"2603","d1.GQ199788.1"
"2604","d1.GQ199789.1"
"2605","d1.GQ199790.1"
"2606","d1.GQ199791.1"
"2607","d1.GQ199792.1"
"2608","d1.GQ199793.1"
"2609","d1.GQ199794.1"
"2610","d1.GQ199795.1"
"2611","d1.GQ199796.1"
"2612","d1.GQ199798.1"
"2613","d1.GQ199797.1"
"2614","d1.GQ199800.1"
"2615","d1.GQ199799.1"
"2616","d1.GQ199801.1"
"2617","d1.GQ199803.1"
"2618","d1.GQ199802.1"
"2619","d1.GQ199804.1"
"2620","d1.GQ199807.1"
"2621","d1.GQ199806.1"
"2622","d1.GQ199805.1"
"2623","d1.GQ199809.1"
"2624","d1.GQ199808.1"
"2625","d1.GQ199811.1"
"2626","d1.GQ199812.1"
"2627","d1.GQ199810.1"
"2628","d1.GQ199814.1"
"2629","d1.GQ199815.1"
"2630","d1.GQ199813.1"
"2631","d1.GQ199816.1"
"2632","d1.GQ199817.1"
"2633","d1.GQ199818.1"
"2634","d1.GQ199820.1"
"2635","d1.GQ199819.1"
"2636","d1.GQ199821.1"
"2637","d1.GQ199823.1"
"2638","d1.GQ199824.1"
"2639","d1.GQ199822.1"
"2640","d1.GQ199825.1"
"2641","d1.GQ199828.1"
"2642","d1.GQ199826.1"
"2643","d1.GQ199829.1"
"2644","d1.GQ199827.1"
"2645","d1.GQ199830.1"
"2646","d1.GQ199833.1"
"2647","d1.GQ199831.1"
"2648","d1.GQ199832.1"
"2649","d1.GQ199834.1"
"2650","d1.GQ199837.1"
"2651","d1.GQ199835.1"
"2652","d1.GQ199838.1"
"2653","d1.GQ199836.1"
"2654","d1.GQ199841.1"
"2655","d1.GQ199840.1"
"2656","d1.GQ199839.1"
"2657","d1.GQ199842.1"
"2658","d1.GQ199843.1"
"2659","d1.GQ199844.1"
"2660","d1.GQ199846.1"
"2661","d1.GQ199845.1"
"2662","d1.GQ199847.1"
"2663","d1.GQ199848.1"
"2664","d1.GQ199849.1"
"2665","d1.GQ199851.1"
"2666","d1.GQ199852.1"
"2667","d1.GQ199850.1"
"2668","d1.GQ199853.1"
"2669","d1.GQ199854.1"
"2670","d1.GQ199856.1"
"2671","d1.GQ199855.1"
"2672","d1.GQ199857.1"
"2673","d1.GQ199867.1"
"2674","d1.GQ199858.1"
"2675","d1.GQ199859.1"
"2676","d1.GQ199873.1"
"2677","d1.GQ199872.1"
"2678","d1.GQ199875.1"
"2679","d1.GQ199877.1"
"2680","d1.FJ461320.1"
"2681","d1.FJ461328.1"
"2682","d1.FJ873814.1"
"2683","d1.FJ873810.1"
"2684","d1.FJ859029.1"
"2685","d1.FJ873809.1"
"2686","d1.FJ882517.1"
"2687","d1.FJ882516.1"
"2688","d1.FJ882515.1"
"2689","d1.FJ882518.1"
"2690","d1.FJ882520.1"
"2691","d1.FJ882519.1"
"2692","d1.FJ882521.1"
"2693","d1.FJ882524.1"
"2694","d1.FJ882523.1"
"2695","d1.FJ882522.1"
"2696","d1.FJ882525.1"
"2697","d1.FJ882529.1"
"2698","d1.FJ882527.1"
"2699","d1.FJ882526.1"
"2700","d1.FJ882528.1"
"2701","d1.FJ882532.1"
"2702","d1.FJ882531.1"
"2703","d1.FJ882530.1"
"2704","d1.FJ882533.1"
"2705","d1.FJ882535.1"
"2706","d1.FJ882537.1"
"2707","d1.FJ882534.1"
"2708","d1.FJ882536.1"
"2709","d1.FJ882538.1"
"2710","d1.FJ882539.1"
"2711","d1.FJ882540.1"
"2712","d1.FJ882541.1"
"2713","d1.FJ882542.1"
"2714","d1.FJ882544.1"
"2715","d1.FJ882543.1"
"2716","d1.FJ882546.1"
"2717","d1.FJ882547.1"
"2718","d1.FJ882545.1"
"2719","d1.FJ882548.1"
"2720","d1.FJ882549.1"
"2721","d1.FJ882552.1"
"2722","d1.FJ882551.1"
"2723","d1.FJ882550.1"
"2724","d1.FJ882554.1"
"2725","d1.FJ882555.1"
"2726","d1.FJ882553.1"
"2727","d1.FJ882556.1"
"2728","d1.FJ882557.1"
"2729","d1.FJ882559.1"
"2730","d1.FJ882561.1"
"2731","d1.FJ882560.1"
"2732","d1.FJ882558.1"
"2733","d1.FJ882563.1"
"2734","d1.FJ882562.1"
"2735","d1.FJ882564.1"
"2736","d1.FJ882565.1"
"2737","d1.FJ882567.1"
"2738","d1.FJ882566.1"
"2739","d1.FJ882568.1"
"2740","d1.FJ882569.1"
"2741","d1.FJ898371.1"
"2742","d1.FJ882570.1"
"2743","d1.FJ882579.1"
"2744","d1.FJ898372.1"
"2745","d1.FJ898374.1"
"2746","d1.FJ898373.1"
"2747","d1.FJ898375.1"
"2748","d1.FJ898376.1"
"2749","d1.FJ898377.1"
"2750","d1.FJ898378.1"
"2751","d1.FJ898380.1"
"2752","d1.FJ898379.1"
"2753","d1.FJ898381.1"
"2754","d1.FJ898382.1"
"2755","d1.FJ898383.1"
"2756","d1.FJ898385.1"
"2757","d1.FJ898384.1"
"2758","d1.FJ898386.1"
"2759","d1.FJ898388.1"
"2760","d1.FJ898387.1"
"2761","d1.FJ898389.1"
"2762","d1.FJ898393.1"
"2763","d1.FJ898391.1"
"2764","d1.FJ898392.1"
"2765","d1.FJ898390.1"
"2766","d1.FJ898395.1"
"2767","d1.FJ898394.1"
"2768","d1.FJ898397.1"
"2769","d1.FJ898396.1"
"2770","d1.FJ898398.1"
"2771","d1.FJ898399.1"
"2772","d1.FJ898400.1"
"2773","d1.FJ898402.1"
"2774","d1.FJ898401.1"
"2775","d1.FJ898403.1"
"2776","d1.FJ898404.1"
"2777","d1.FJ898406.1"
"2778","d1.FJ898405.1"
"2779","d1.FJ898408.1"
"2780","d1.FJ898407.1"
"2781","d1.FJ898409.1"
"2782","d1.FJ898410.1"
"2783","d1.FJ898411.1"
"2784","d1.FJ898412.1"
"2785","d1.FJ898415.1"
"2786","d1.FJ898414.1"
"2787","d1.FJ898413.1"
"2788","d1.FJ898416.1"
"2789","d1.FJ898417.1"
"2790","d1.FJ898418.1"
"2791","d1.FJ898419.1"
"2792","d1.FJ898420.1"
"2793","d1.FJ898423.1"
"2794","d1.FJ898421.1"
"2795","d1.FJ898422.1"
"2796","d1.FJ898424.1"
"2797","d1.FJ898426.1"
"2798","d1.FJ898425.1"
"2799","d1.FJ898427.1"
"2800","d1.FJ898428.1"
"2801","d1.FJ898433.1"
"2802","d1.FJ898431.1"
"2803","d1.FJ898430.1"
"2804","d1.FJ898429.1"
"2805","d1.FJ898448.1"
"2806","d1.FJ898437.1"
"2807","d1.FJ906728.1"
"2808","d1.FJ906963.1"
"2809","d1.FJ906964.1"
"2810","d1.FJ810415.1"
"2811","d1.FJ906965.1"
"2812","d1.FJ810419.1"
"2813","d1.FJ850068.1"
"2814","d1.FJ850069.1"
"2815","d1.FJ850070.1"
"2816","d1.FJ850071.1"
"2817","d1.FJ850081.1"
"2818","d1.FJ850077.1"
"2819","d1.FJ850075.1"
"2820","d1.FJ850087.1"
"2821","d1.FJ850073.1"
"2822","d1.FJ850084.1"
"2823","d1.FJ850090.1"
"2824","d1.FJ850093.1"
"2825","d1.FJ850099.1"
"2826","d1.FJ850101.1"
"2827","d1.FJ850100.1"
"2828","d1.FJ850102.1"
"2829","d1.FJ850103.1"
"2830","d1.FJ850113.1"
"2831","d1.FJ850104.1"
"2832","d1.FJ850114.1"
"2833","d1.FJ687426.1"
"2834","d1.FJ687427.1"
"2835","d1.FJ687429.1"
"2836","d1.FJ687428.1"
"2837","d1.FJ687430.1"
"2838","d1.FJ687432.1"
"2839","d1.FJ687431.1"
"2840","d1.FJ687433.1"
"2841","d1.FJ432723.1"
"2842","d1.FJ744701.1"
"2843","d1.FJ744702.1"
"2844","d1.FJ432727.1"
"2845","d1.FJ432729.1"
"2846","d1.FJ432725.1"
"2847","d1.FJ432730.1"
"2848","d1.FJ432732.1"
"2849","d1.FJ432733.1"
"2850","d1.FJ432735.1"
"2851","d1.FJ432734.1"
"2852","d1.FJ432736.1"
"2853","d1.FJ432739.1"
"2854","d1.FJ432737.1"
"2855","d1.FJ432738.1"
"2856","d1.FJ432740.1"
"2857","d1.FJ432742.1"
"2858","d1.FJ432745.1"
"2859","d1.FJ432744.1"
"2860","d1.FJ432746.1"
"2861","d1.FJ432749.1"
"2862","d1.FJ432747.1"
"2863","d1.FJ461306.1"
"2864","d1.FJ432748.1"
"2865","d1.FJ461307.1"
"2866","d1.FJ461308.1"
"2867","d1.FJ461310.1"
"2868","d1.FJ461312.1"
"2869","d1.FJ461313.1"
"2870","d1.FJ461315.1"
"2871","d1.FJ461316.1"
"2872","d1.FJ461317.1"
"2873","d1.FJ461318.1"
"2874","d1.FJ461319.1"
"2875","d1.FJ461323.1"
"2876","d1.FJ461324.1"
"2877","d1.FJ461327.1"
"2878","d1.FJ461325.1"
"2879","d1.FJ461330.1"
"2880","d1.FJ461331.1"
"2881","d1.FJ461333.1"
"2882","d1.FJ461332.1"
"2883","d1.FJ461335.1"
"2884","d1.FJ461336.1"
"2885","d1.FJ461339.1"
"2886","d1.FJ461340.1"
"2887","d1.FJ461341.1"
"2888","d1.FJ547060.1"
"2889","d1.FJ547063.1"
"2890","d1.FJ547086.1"
"2891","d1.FJ547065.1"
"2892","d1.FJ547068.1"
"2893","d1.FJ547087.1"
"2894","d1.FJ547088.1"
"2895","d1.FJ547089.1"
"2896","d1.FJ562101.1"
"2897","d1.FJ562104.1"
"2898","d1.FJ562106.1"
"2899","d1.FJ562105.1"
"2900","d1.FJ639669.1"
"2901","d1.FJ639671.1"
"2902","d1.FJ639673.1"
"2903","d1.FJ639670.1"
"2904","d1.FJ639672.1"
"2905","d1.FJ639674.1"
"2906","d1.FJ639675.1"
"2907","d1.FJ639677.1"
"2908","d1.FJ639676.1"
"2909","d1.FJ639678.1"
"2910","d1.FJ639680.1"
"2911","d1.FJ639679.1"
"2912","d1.FJ639681.1"
"2913","d1.FJ639682.1"
"2914","d1.FJ639683.1"
"2915","d1.FJ639684.1"
"2916","d1.FJ639685.1"
"2917","d1.FJ639687.1"
"2918","d1.FJ639686.1"
"2919","d1.FJ639688.1"
"2920","d1.FJ639690.1"
"2921","d1.FJ639689.1"
"2922","d1.FJ639691.1"
"2923","d1.FJ639693.1"
"2924","d1.FJ639694.1"
"2925","d1.FJ639692.1"
"2926","d1.FJ639695.1"
"2927","d1.FJ639740.1"
"2928","d1.FJ639696.1"
"2929","d1.FJ639735.1"
"2930","d1.FJ639741.1"
"2931","d1.FJ639743.1"
"2932","d1.FJ639794.1"
"2933","d1.FJ639796.1"
"2934","d1.FJ639797.1"
"2935","d1.FJ639808.1"
"2936","d1.FJ639811.1"
"2937","d1.FJ639806.1"
"2938","d1.FJ639802.1"
"2939","d1.FJ639812.1"
"2940","d1.FJ639813.1"
"2941","d1.FJ639815.1"
"2942","d1.FJ639814.1"
"2943","d1.FJ639818.1"
"2944","d1.FJ639819.1"
"2945","d1.FJ639820.1"
"2946","d1.FJ639823.1"
"2947","d1.FJ639821.1"
"2948","d1.FJ639824.1"
"2949","d1.FJ432721.1"
"2950","d1.FJ432719.1"
"2951","d1.FJ461303.1"
"2952","d1.FJ432720.1"
"2953","d1.FJ478458.1"
"2954","d1.FJ478457.1"
"2955","d1.FJ384655.1"
"2956","d1.FJ373296.1"
"2957","d1.FJ373305.1"
"2958","d1.FJ390374.1"
"2959","d1.FJ373297.1"
"2960","d1.FJ373298.1"
"2961","d1.FJ390379.1"
"2962","d1.FJ390378.1"
"2963","d1.FJ390380.1"
"2964","d1.FJ390383.1"
"2965","d1.FJ390381.1"
"2966","d1.FJ390382.1"
"2967","d1.FJ390388.1"
"2968","d1.FJ410175.1"
"2969","d1.FJ410173.1"
"2970","d1.FJ390386.1"
"2971","d1.FJ410174.1"
"2972","d1.FJ410179.1"
"2973","d1.FJ410180.1"
"2974","d1.FJ410181.1"
"2975","d1.FJ410182.1"
"2976","d1.FJ410186.1"
"2977","d1.FJ410185.1"
"2978","d1.FJ410184.1"
"2979","d1.FJ410183.1"
"2980","d1.FJ410188.1"
"2981","d1.FJ410189.1"
"2982","d1.FJ410190.1"
"2983","d1.FJ410187.1"
"2984","d1.FJ410196.1"
"2985","d1.FJ410197.1"
"2986","d1.FJ410194.1"
"2987","d1.FJ410191.1"
"2988","d1.FJ410192.1"
"2989","d1.FJ410201.1"
"2990","d1.FJ410198.1"
"2991","d1.FJ410199.1"
"2992","d1.FJ410203.1"
"2993","d1.FJ410205.1"
"2994","d1.FJ410204.1"
"2995","d1.FJ410210.1"
"2996","d1.FJ410207.1"
"2997","d1.FJ410206.1"
"2998","d1.FJ410212.1"
"2999","d1.FJ410209.1"
"3000","d1.FJ410211.1"
"3001","d1.FJ410213.1"
"3002","d1.FJ410214.1"
"3003","d1.FJ410218.1"
"3004","d1.FJ410220.1"
"3005","d1.FJ410216.1"
"3006","d1.FJ410222.1"
"3007","d1.FJ410225.1"
"3008","d1.FJ410226.1"
"3009","d1.FJ410227.1"
"3010","d1.FJ410230.1"
"3011","d1.FJ410231.1"
"3012","d1.FJ410234.1"
"3013","d1.FJ410232.1"
"3014","d1.FJ410236.1"
"3015","d1.FJ410235.1"
"3016","d1.FJ410239.1"
"3017","d1.FJ410238.1"
"3018","d1.FJ410240.1"
"3019","d1.FJ410242.1"
"3020","d1.FJ410244.1"
"3021","d1.FJ410243.1"
"3022","d1.FJ410246.1"
"3023","d1.FJ410245.1"
"3024","d1.FJ410248.1"
"3025","d1.FJ410247.1"
"3026","d1.FJ410249.1"
"3027","d1.FJ410250.1"
"3028","d1.FJ410251.1"
"3029","d1.FJ410252.1"
"3030","d1.FJ410253.1"
"3031","d1.FJ410254.1"
"3032","d1.FJ410255.1"
"3033","d1.FJ410256.1"
"3034","d1.FJ410257.1"
"3035","d1.FJ410258.1"
"3036","d1.FJ410260.1"
"3037","d1.FJ410261.1"
"3038","d1.FJ410262.1"
"3039","d1.FJ410263.1"
"3040","d1.FJ410265.1"
"3041","d1.FJ410264.1"
"3042","d1.FJ410266.1"
"3043","d1.FJ410269.1"
"3044","d1.FJ410268.1"
"3045","d1.FJ410267.1"
"3046","d1.FJ410270.1"
"3047","d1.FJ410272.1"
"3048","d1.FJ410273.1"
"3049","d1.FJ410274.1"
"3050","d1.FJ410275.1"
"3051","d1.FJ410276.1"
"3052","d1.FJ410277.1"
"3053","d1.FJ410278.1"
"3054","d1.FJ410279.1"
"3055","d1.FJ410282.1"
"3056","d1.FJ410281.1"
"3057","d1.FJ410280.1"
"3058","d1.FJ410283.1"
"3059","d1.FJ410286.1"
"3060","d1.FJ410284.1"
"3061","d1.FJ410285.1"
"3062","d1.EU863650.1"
"3063","d1.FJ410287.1"
"3064","d1.FJ410289.1"
"3065","d1.FJ410290.1"
"3066","d1.FJ176779.1"
"3067","d1.FJ176780.1"
"3068","d1.FJ182003.1"
"3069","d1.FJ182018.1"
"3070","d1.FJ182020.1"
"3071","d1.FJ182019.1"
"3072","d1.FJ182021.1"
"3073","d1.FJ182023.1"
"3074","d1.FJ182025.1"
"3075","d1.FJ182022.1"
"3076","d1.FJ182024.1"
"3077","d1.FJ182026.1"
"3078","d1.FJ182029.1"
"3079","d1.FJ182028.1"
"3080","d1.FJ182027.1"
"3081","d1.FJ182030.1"
"3082","d1.FJ182031.1"
"3083","d1.FJ182034.1"
"3084","d1.FJ182033.1"
"3085","d1.FJ182036.1"
"3086","d1.FJ182032.1"
"3087","d1.FJ182035.1"
"3088","d1.FJ205876.1"
"3089","d1.FJ182002.1"
"3090","d1.FJ205872.1"
"3091","d1.FJ205883.1"
"3092","d1.FJ205882.1"
"3093","d1.FJ205881.1"
"3094","d1.FJ205884.1"
"3095","d1.FJ024423.1"
"3096","d1.FJ024426.1"
"3097","d1.FJ024427.1"
"3098","d1.FJ205873.1"
"3099","d1.FJ205874.1"
"3100","d1.FJ205875.1"
"3101","d1.FJ024430.1"
"3102","d1.FJ024425.1"
"3103","d1.FJ024428.1"
"3104","d1.FJ024435.1"
"3105","d1.FJ024434.1"
"3106","d1.FJ024432.1"
"3107","d1.FJ024437.1"
"3108","d1.FJ024431.1"
"3109","d1.FJ024433.1"
"3110","d1.FJ024436.1"
"3111","d1.FJ024429.1"
"3112","d1.FJ024438.1"
"3113","d1.FJ024443.1"
"3114","d1.FJ024440.1"
"3115","d1.FJ024441.1"
"3116","d1.FJ024444.1"
"3117","d1.FJ024445.1"
"3118","d1.FJ024446.1"
"3119","d1.FJ024439.1"
"3120","d1.FJ024447.1"
"3121","d1.FJ024450.1"
"3122","d1.FJ024449.1"
"3123","d1.FJ024455.1"
"3124","d1.FJ024453.1"
"3125","d1.FJ024451.1"
"3126","d1.FJ024456.1"
"3127","d1.FJ024457.1"
"3128","d1.FJ024459.1"
"3129","d1.FJ024460.1"
"3130","d1.FJ024462.1"
"3131","d1.FJ024442.1"
"3132","d1.FJ024463.1"
"3133","d1.FJ024464.1"
"3134","d1.FJ024478.1"
"3135","d1.FJ024472.1"
"3136","d1.FJ024479.1"
"3137","d1.FJ024480.1"
"3138","d1.FJ024482.1"
"3139","d1.FJ024483.1"
"3140","d1.EU848545.1"
"3141","d1.FJ024448.1"
"3142","d1.FJ024485.1"
"3143","d1.EU726777.1"
"3144","d1.FJ024484.1"
"3145","d1.EU726778.1"
"3146","d1.EU726779.1"
"3147","d1.EU726780.1"
"3148","d1.EU726782.1"
"3149","d1.EU660391.1"
"3150","d1.EU660390.1"
"3151","d1.EU660392.1"
"3152","d1.EU660393.1"
"3153","d1.EU660394.1"
"3154","d1.EU660395.1"
"3155","d1.EU660396.1"
"3156","d1.FJ024481.1"
"3157","d1.EU660401.1"
"3158","d1.EU660397.1"
"3159","d1.EU660402.1"
"3160","d1.EU660418.1"
"3161","d1.EU660403.1"
"3162","d1.EU660412.1"
"3163","d1.EU677140.1"
"3164","d1.EU677139.1"
"3165","d1.EU677150.1"
"3166","d1.EU726781.1"
"3167","d1.EU677152.1"
"3168","d1.EU677151.1"
"3169","d1.EU677154.1"
"3170","d1.EU677156.1"
"3171","d1.EU660419.1"
"3172","d1.EU677153.1"
"3173","d1.EU677157.1"
"3174","d1.EU677160.1"
"3175","d1.EU677155.1"
"3176","d1.EU677159.1"
"3177","d1.EU677162.1"
"3178","d1.EU677163.1"
"3179","d1.EU677158.1"
"3180","d1.EU677161.1"
"3181","d1.EU677164.1"
"3182","d1.EU677165.1"
"3183","d1.EU677166.1"
"3184","d1.EU677169.1"
"3185","d1.EU677170.1"
"3186","d1.EU677167.1"
"3187","d1.EU677171.1"
"3188","d1.EU677173.1"
"3189","d1.EU677168.1"
"3190","d1.EU677174.1"
"3191","d1.EU677172.1"
"3192","d1.EU677175.1"
"3193","d1.EU677178.1"
"3194","d1.EU677177.1"
"3195","d1.EU677176.1"
"3196","d1.EU687247.1"
"3197","d1.EU687251.1"
"3198","d1.EU596501.1"
"3199","d1.EU596504.1"
"3200","d1.EU249491.1"
"3201","d1.EU249490.1"
"3202","d1.EU249492.1"
"3203","d1.EU596502.1"
"3204","d1.EU249493.1"
"3205","d1.EU249495.1"
"3206","d1.EU249494.1"
"3207","d1.EU482476.1"
"3208","d1.EU482477.1"
"3209","d1.EU482479.1"
"3210","d1.EU482478.1"
"3211","d1.EU482480.1"
"3212","d1.EU482482.1"
"3213","d1.EU482483.1"
"3214","d1.EU482484.1"
"3215","d1.EU482481.1"
"3216","d1.EU482485.1"
"3217","d1.EU482486.1"
"3218","d1.EU482487.1"
"3219","d1.EU482489.1"
"3220","d1.EU482491.1"
"3221","d1.EU482490.1"
"3222","d1.EU482488.1"
"3223","d1.EU482492.1"
"3224","d1.EU482493.1"
"3225","d1.EU482494.1"
"3226","d1.EU482495.1"
"3227","d1.EU482497.1"
"3228","d1.EU482496.1"
"3229","d1.EU482499.1"
"3230","d1.EU482498.1"
"3231","d1.EU482502.1"
"3232","d1.EU482500.1"
"3233","d1.EU482501.1"
"3234","d1.EU482503.1"
"3235","d1.EU482504.1"
"3236","d1.EU596503.1"
"3237","d1.EU482506.1"
"3238","d1.EU482505.1"
"3239","d1.EU482507.1"
"3240","d1.EU482509.1"
"3241","d1.EU482508.1"
"3242","d1.EU482512.1"
"3243","d1.EU482513.1"
"3244","d1.EU482514.1"
"3245","d1.EU482510.1"
"3246","d1.EU482511.1"
"3247","d1.EU482515.1"
"3248","d1.EU482516.1"
"3249","d1.EU482517.1"
"3250","d1.EU482519.1"
"3251","d1.EU482520.1"
"3252","d1.EU482522.1"
"3253","d1.EU482521.1"
"3254","d1.EU482518.1"
"3255","d1.EU482523.1"
"3256","d1.EU482524.1"
"3257","d1.EU482525.1"
"3258","d1.EU482526.1"
"3259","d1.EU482528.1"
"3260","d1.EU482527.1"
"3261","d1.EU482530.1"
"3262","d1.EU482529.1"
"3263","d1.EU482531.1"
"3264","d1.EU482532.1"
"3265","d1.EU482533.1"
"3266","d1.EU482535.1"
"3267","d1.EU482534.1"
"3268","d1.EU482536.1"
"3269","d1.EU482537.1"
"3270","d1.EU482538.1"
"3271","d1.EU482539.1"
"3272","d1.EU482540.1"
"3273","d1.EU482567.1"
"3274","d1.EU482591.1"
"3275","d1.EU482592.1"
"3276","d1.EU482611.1"
"3277","d1.EU482610.1"
"3278","d1.EU482609.1"
"3279","d1.EU482615.1"
"3280","d1.EU482616.1"
"3281","d1.EU482617.1"
"3282","d1.EU482618.1"
"3283","d1.EU482706.1"
"3284","d1.EU482619.1"
"3285","d1.EU482707.1"
"3286","d1.EU482709.1"
"3287","d1.EU482708.1"
"3288","d1.EU482710.1"
"3289","d1.EU482711.1"
