"","c..d1.MZ619041.1....d1.MZ229304.1....d1.MZ229305.1....d1.MZ312926.1..."
"223","d1.MW945837.1"
"224","d1.MW945839.1"
"225","d1.MW945841.1"
"226","d1.MW945840.1"
"227","d1.MW945838.1"
"228","d1.MW945842.1"
"229","d1.MW945844.1"
"230","d1.MW945843.1"
"231","d1.MW945846.1"
"232","d1.MW945845.1"
"233","d1.MW945848.1"
"234","d1.MW945847.1"
"235","d1.MW945849.1"
"236","d1.MW945850.1"
"237","d1.MW945851.1"
"238","d1.MW945852.1"
"239","d1.MW945853.1"
"240","d1.MW945854.1"
"241","d1.MW945855.1"
"242","d1.MW945858.1"
"243","d1.MW945856.1"
"244","d1.MW945859.1"
"245","d1.MW945857.1"
"246","d1.MW945860.1"
"247","d1.MW945862.1"
"248","d1.MW945863.1"
"249","d1.MW945861.1"
"250","d1.MW945868.1"
"251","d1.MW945869.1"
"252","d1.MW945870.1"
"253","d1.MW945864.1"
"254","d1.MW945865.1"
"255","d1.MW945867.1"
"256","d1.MW945866.1"
"257","d1.MW945875.1"
"258","d1.MW945876.1"
"259","d1.MW945872.1"
"260","d1.MW945871.1"
"261","d1.MW945878.1"
"262","d1.MW945879.1"
"263","d1.MW945874.1"
"264","d1.MW945873.1"
"265","d1.MW945877.1"
"266","d1.MW945881.1"
"267","d1.MW945880.1"
"268","d1.MW945882.1"
"269","d1.MW945885.1"
"270","d1.MW945886.1"
"271","d1.MW945883.1"
"272","d1.MW945884.1"
"273","d1.MW945888.1"
"274","d1.MW945887.1"
"275","d1.MW945889.1"
"276","d1.MW945890.1"
"277","d1.MW945891.1"
"278","d1.MW945892.1"
"279","d1.MW945894.1"
"280","d1.MW945893.1"
"281","d1.MW945897.1"
"282","d1.MW945895.1"
"283","d1.MW945896.1"
"284","d1.MW945899.1"
"285","d1.MW945898.1"
"286","d1.MW945901.1"
"287","d1.MW945902.1"
"288","d1.MW945900.1"
"289","d1.MW945904.1"
"290","d1.MW945903.1"
"291","d1.MW945905.1"
"292","d1.MW945906.1"
"293","d1.MW945907.1"
"294","d1.MW945910.1"
"295","d1.MW945908.1"
"296","d1.MW945909.1"
"297","d1.MW945911.1"
"298","d1.MW945912.1"
"299","d1.MW945913.1"
"300","d1.MW945914.1"
"301","d1.MW945915.1"
"302","d1.MW945916.1"
"303","d1.MW945917.1"
"304","d1.MW945918.1"
"305","d1.MW945919.1"
"306","d1.MW945920.1"
"307","d1.MW945921.1"
"308","d1.MW945922.1"
"309","d1.MW945923.1"
"310","d1.MW945924.1"
"311","d1.MW945925.1"
"312","d1.MW945927.1"
"313","d1.MW945926.1"
"314","d1.MW945928.1"
"315","d1.MW945929.1"
"316","d1.MW945931.1"
"317","d1.MW945930.1"
"318","d1.MW945933.1"
"319","d1.MW945932.1"
"320","d1.MW945934.1"
"321","d1.MW945935.1"
"322","d1.MW945937.1"
"323","d1.MW945936.1"
"324","d1.MW945939.1"
"325","d1.MW945940.1"
"326","d1.MW945938.1"
"327","d1.MW945944.1"
"328","d1.MW945942.1"
"329","d1.MW945941.1"
"330","d1.MW945943.1"
"331","d1.MW945946.1"
"332","d1.MW945948.1"
"333","d1.MW945952.1"
"334","d1.MW945949.1"
"335","d1.MW945951.1"
"336","d1.MW945947.1"
"337","d1.MW945945.1"
"338","d1.MW945953.1"
"339","d1.MW945950.1"
"340","d1.MW945954.1"
"341","d1.MW945956.1"
"342","d1.MW945955.1"
"343","d1.MW945957.1"
"344","d1.MW945959.1"
"345","d1.MW945958.1"
"346","d1.MW945960.1"
"347","d1.MW945963.1"
"348","d1.MW945961.1"
"349","d1.MW945964.1"
"350","d1.MW945962.1"
"351","d1.MW945967.1"
"352","d1.MW945966.1"
"353","d1.MW945965.1"
"354","d1.MW945968.1"
"355","d1.MW945970.1"
"356","d1.MW945971.1"
"357","d1.MW945969.1"
"358","d1.MW945973.1"
"359","d1.MW945974.1"
"360","d1.MW945972.1"
"361","d1.MW945975.1"
"362","d1.MW945978.1"
"363","d1.MW945977.1"
"364","d1.MW945976.1"
"365","d1.MW945979.1"
"366","d1.MW945980.1"
"367","d1.MW945981.1"
"368","d1.MW945982.1"
"369","d1.MW945983.1"
"370","d1.MW945986.1"
"371","d1.MW945984.1"
"372","d1.MW945985.1"
"373","d1.MW945987.1"
"374","d1.MW945988.1"
"375","d1.MW945989.1"
"376","d1.MW945990.1"
"377","d1.MW945991.1"
"378","d1.MW945994.1"
"379","d1.MW945992.1"
"380","d1.MW945993.1"
"381","d1.MW945995.1"
"382","d1.MW945997.1"
"383","d1.MW945996.1"
"384","d1.MW945999.1"
"385","d1.MW945998.1"
"386","d1.MW946002.1"
"387","d1.MW946003.1"
"388","d1.MW946000.1"
"389","d1.MW946004.1"
"390","d1.MW946001.1"
"391","d1.MW946005.1"
"392","d1.MW946006.1"
"393","d1.MW946007.1"
"394","d1.MW946008.1"
"395","d1.MW946009.1"
"396","d1.MW946010.1"
"397","d1.MW946011.1"
"398","d1.MW946013.1"
"399","d1.MW946012.1"
"400","d1.MW946014.1"
"401","d1.MW946016.1"
"402","d1.MW946015.1"
"403","d1.MW946017.1"
"404","d1.MW946018.1"
"405","d1.MW946020.1"
"406","d1.MW946021.1"
"407","d1.MW946019.1"
"408","d1.MW946022.1"
"409","d1.MW946023.1"
"410","d1.MW946024.1"
"411","d1.MW946025.1"
"412","d1.MW946026.1"
"413","d1.MW946027.1"
"414","d1.MW946028.1"
"415","d1.MW946029.1"
"416","d1.MW946030.1"
"417","d1.MW946031.1"
"418","d1.MW946033.1"
"419","d1.MW946034.1"
"420","d1.MW946032.1"
"421","d1.MW946035.1"
"422","d1.MW946038.1"
"423","d1.MW946036.1"
"424","d1.MW946039.1"
"425","d1.MW946037.1"
