strain	Sample_ID	Sample_Source	Data_Source	date	Location	Serotype	Sero_Geno	yale	caribbean	florida	cmplt_date	year	n_obs	n_obs_date	n_obs_ds
KF744402.1	00-St-68B	Kawashima_2015	NCBI	2000-XX-XX	Philippines	2	2_IV	0	0	0	0	2000	3	3	3
KF744403.1	95-SLMC-125	Kawashima_2015	NCBI	1995-XX-XX	Philippines	2	2_IV	0	0	0	0	1995	2	2	2
KF744404.1	96-BRL-12	Kawashima_2015	NCBI	1996-XX-XX	Philippines	2	2_IV	0	0	0	0	1996	3	3	3
KF744405.1	96-SLMC-179	Kawashima_2015	NCBI	1996-XX-XX	Philippines	2	2_IV	0	0	0	0	1996	3	3	3
KF744406.1	95-SLMC-148	Kawashima_2015	NCBI	1995-XX-XX	Philippines	2	2_IV	0	0	0	0	1995	2	2	2
KF744407.1	96-CSMC-007	Kawashima_2015	NCBI	1996-XX-XX	Philippines	2	2_IV	0	0	0	0	1996	3	3	3
KF744408.1	05-RBD-204	Kawashima_2015	NCBI	2005-XX-XX	Philippines	2	2_IV	0	0	0	0	2005	2	2	2
KM204118.1	New-Guinea-C	Anez_2014	NCBI	1944-XX-XX	Papua-New-Guinea	2	2_IV	0	0	0	0	1944	5	5	5
KJ830750.1	Jeddah-2014	Azhar_2014	NCBI	2014-01-13	Saudi-Arabia	2	2_II_related	0	0	0	1	2014	2	2	2
KJ918750.1	P23085_INDI-60	Kar_2014	NCBI	1960-XX-XX	India	2	2_I_related	0	0	0	0	1960	2	2	2
KJ010185.1	DENV-2/PK/2011	Akram_2014	NCBI	2011-10-20	Pakistan	2	2_II_related	0	0	0	1	2011	6	1	6
KJ010186.1	DENV-2/PK/2013	Akram_2014	NCBI	2013-10-02	Pakistan	2	2_II_related	0	0	0	1	2013	3	2	3
KJ189305.1	DENV-2/CO/BID-V7294/2000	Zody_2014	NCBI	2000-XX-XX	Colombia	2	2_III	0	0	0	0	2000	1	1	1
KJ189308.1	DENV-2/MX/BID-V7535/2009	Zody_2014	NCBI	2009-XX-XX	Mexico	2	2_III	0	0	0	0	2009	9	9	9
KJ189309.1	DENV-2/MX/BID-V7537/2010	Zody_2014	NCBI	2010-XX-XX	Mexico	2	2_III	0	0	0	0	2010	3	1	3
KJ189370.1	DENV-2/MX/BID-V8199/2011	Zody_2014	NCBI	2011-XX-XX	Mexico	2	2_III	0	0	0	0	2011	7	6	7
JQ955623.1	RR44	Dash_2014	NCBI	2009-XX-XX	India	2	2_II_related	0	0	0	0	2009	10	7	10
JQ955624.1	Od2112	Dash_2014	NCBI	2011-XX-XX	India	2	2_II_related	0	0	0	0	2011	5	4	5
JX475906.1	1392	Dash_2014	NCBI	2009-XX-XX	India	2	2_II_related	0	0	0	0	2009	10	7	10
