strain	Sample_ID	Sample_Source	Data_Source	date	Location	Serotype	Sero_Geno	yale	caribbean	florida	cmplt_date	year	n_obs	n_obs_date	n_obs_ds
MW945436.1	DENV4/PUERTORICO/1998/347751	Katzelnick_2021	NCBI	1998-XX-XX	Puerto-Rico	4	4_II	0	1	0	0	1998	47	47	47
MW945437.1	DENV4/PUERTORICO/1999/BID-V2446	Katzelnick_2021	NCBI	1999-XX-XX	Puerto-Rico	4	4_II	0	1	0	0	1999	23	23	23
MW945720.1	42A	Katzelnick_2021	NCBI	1981-XX-XX	Dominica	4	4_II	0	1	0	0	1981	1	1	1
MK514144.1	Homo sapiens/Haiti-0075/2015	Stephenson_2019	NCBI	2015-01-28	Haiti	4	4_II	0	1	0	1	2015	2	2	2
KT276273.1	Haiti/0324/2014	Lednicky_2015	NCBI	2014-09-08	Haiti	4	4_II	0	1	0	1	2014	4	4	4
KP140942.1	MRS/6169642904/2014	Baronti_2015	NCBI	2014-09-11	Haiti	4	4_II	0	1	0	1	2014	4	4	4
JF262782.1	Haiti73	Rossi_2012	NCBI	1994-XX-XX	Haiti	4	4_II	0	1	0	0	1994	1	1	1
GU318306.1	D4/PR/93/DEC-1990	Bennett_2010	NCBI	1990-12-XX	Puerto-Rico	4	4_II	0	1	0	0	1990	8	8	8
GU318307.1	D4/PR/94/DEC-1990	Bennett_2010	NCBI	1990-12-XX	Puerto-Rico	4	4_II	0	1	0	0	1990	8	8	8
GU318308.1	D4/PR/96/DEC-1990	Bennett_2010	NCBI	1990-12-XX	Puerto-Rico	4	4_II	0	1	0	0	1990	8	8	8
GU318309.1	D4/PR/97/JAN-1991	Bennett_2010	NCBI	1991-01-XX	Puerto-Rico	4	4_II	0	1	0	0	1991	2	2	2
GU318310.1	D4/PR/107/NOV-1990	Bennett_2010	NCBI	1990-11-XX	Puerto-Rico	4	4_II	0	1	0	0	1990	8	8	8
GU318311.1	D4/PR/114/1985	Bennett_2010	NCBI	1985-XX-XX	Puerto-Rico	4	4_II	0	1	0	0	1985	8	8	8
GU318312.1	D4/PR/M31/1985	Bennett_2010	NCBI	1985-XX-XX	Puerto-Rico	4	4_II	0	1	0	0	1985	8	8	8
GU318313.1	D4/PR/M32/1985	Bennett_2010	NCBI	1985-XX-XX	Puerto-Rico	4	4_II	0	1	0	0	1985	8	8	8
GU318314.1	D4/PR/M33/1985	Bennett_2010	NCBI	1985-XX-XX	Puerto-Rico	4	4_II	0	1	0	0	1985	8	8	8
GU318315.1	D4/PR/M34/1985	Bennett_2010	NCBI	1985-XX-XX	Puerto-Rico	4	4_II	0	1	0	0	1985	8	8	8
GU318316.1	D4/PR/M35/1985	Bennett_2010	NCBI	1985-XX-XX	Puerto-Rico	4	4_II	0	1	0	0	1985	8	8	8
GU318317.1	D4/PR/M36/1985	Bennett_2010	NCBI	1985-XX-XX	Puerto-Rico	4	4_II	0	1	0	0	1985	8	8	8
GU318318.1	D4/PR/M37/1985	Bennett_2010	NCBI	1985-XX-XX	Puerto-Rico	4	4_II	0	1	0	0	1985	8	8	8
GQ199878.1	DENV-4/US/BID-V2429/1994	Henn_2009	NCBI	1994-XX-XX	Puerto-Rico	4	4_II	0	1	0	0	1994	58	58	58
GQ199879.1	DENV-4/US/BID-V2430/1994	Henn_2009	NCBI	1994-XX-XX	Puerto-Rico	4	4_II	0	1	0	0	1994	58	58	58
GQ199880.1	DENV-4/US/BID-V2431/1995	Henn_2009	NCBI	1995-XX-XX	Puerto-Rico	4	4_II	0	1	0	0	1995	17	17	17
GQ199881.1	DENV-4/US/BID-V2435/1996	Henn_2009	NCBI	1996-XX-XX	Puerto-Rico	4	4_II	0	1	0	0	1996	18	18	18
GQ199882.1	DENV-4/US/BID-V2436/1996	Henn_2009	NCBI	1996-XX-XX	Puerto-Rico	4	4_II	0	1	0	0	1996	18	18	18
GQ199883.1	DENV-4/US/BID-V2437/1996	Henn_2009	NCBI	1996-XX-XX	Puerto-Rico	4	4_II	0	1	0	0	1996	18	18	18
GQ199884.1	DENV-4/US/BID-V2438/1996	Henn_2009	NCBI	1996-XX-XX	Puerto-Rico	4	4_II	0	1	0	0	1996	18	18	18
GQ199885.1	DENV-4/US/BID-V2439/1996	Henn_2009	NCBI	1996-XX-XX	Puerto-Rico	4	4_II	0	1	0	0	1996	18	18	18
GQ252675.1	DENV-4/US/BID-V2432/1995	Henn_2009	NCBI	1995-XX-XX	Puerto-Rico	4	4_II	0	1	0	0	1995	17	17	17
FJ882595.1	DENV-4/US/BID-V2441/1998	Henn_2009	NCBI	1998-XX-XX	Puerto-Rico	4	4_II	0	1	0	0	1998	47	47	47
FJ882596.1	DENV-4/US/BID-V2442/1998	Henn_2009	NCBI	1998-XX-XX	Puerto-Rico	4	4_II	0	1	0	0	1998	47	47	47
FJ882597.1	DENV-4/US/BID-V2444/1998	Henn_2009	NCBI	1998-XX-XX	Puerto-Rico	4	4_II	0	1	0	0	1998	47	47	47
FJ882598.1	DENV-4/US/BID-V2445/1998	Henn_2009	NCBI	1998-XX-XX	Puerto-Rico	4	4_II	0	1	0	0	1998	47	47	47
FJ882599.1	DENV-4/US/BID-V2446/1999	Henn_2009	NCBI	1999-XX-XX	Puerto-Rico	4	4_II	0	1	0	0	1999	23	23	23
FJ882600.1	DENV-4/US/BID-V2447/1999	Henn_2009	NCBI	1999-XX-XX	Puerto-Rico	4	4_II	0	1	0	0	1999	23	23	23
FJ882601.1	DENV-4/US/BID-V2448/1999	Henn_2009	NCBI	1999-XX-XX	Puerto-Rico	4	4_II	0	1	0	0	1999	23	23	23
FJ810417.1	DENV-4/US/BID-V2433/1995	Henn_2009	NCBI	1995-XX-XX	Puerto-Rico	4	4_II	0	1	0	0	1995	17	17	17
FJ850057.1	DENV-4/US/BID-V2434/1995	Henn_2009	NCBI	1995-XX-XX	Puerto-Rico	4	4_II	0	1	0	0	1995	17	17	17
FJ850058.1	DENV-4/US/BID-V2440/1996	Henn_2009	NCBI	1996-XX-XX	Puerto-Rico	4	4_II	0	1	0	0	1996	18	18	18
FJ850059.1	DENV-4/US/BID-V2443/1998	Henn_2009	NCBI	1998-XX-XX	Puerto-Rico	4	4_II	0	1	0	0	1998	47	47	47
