strain	Sample_ID	Sample_Source	Data_Source	date	Location	Serotype	Sero_Geno	yale	caribbean	florida	cmplt_date	year	n_obs	n_obs_date	n_obs_ds
OM258630.1	PR-6	Hughes_2022	NCBI	1953-XX-XX	Puerto-Rico	3	3_unassigned	0	1	0	0	1953	1	1	1
MW945427.1	DENV3/PUERTORICO/1963/PRS-228762-AC27	Katzelnick_2021	NCBI	1963-XX-XX	Puerto-Rico	3	3_unassigned	0	1	0	0	1963	1	1	1
FJ547070.1	DENV-3/US/BID-V2099/1998	Henn_2009	NCBI	1998-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	1998	47	47	47
FJ182013.1	DENV-3/US/BID-V1450/1998	Henn_2008	NCBI	1998-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	1998	47	47	47
EU726771.1	DENV-3/US/BID-V1448/1998	Henn_2008	NCBI	1998-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	1998	47	47	47
EU726772.1	DENV-3/US/BID-V1449/1998	Henn_2008	NCBI	1998-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	1998	47	47	47
EU687218.1	DENV-3/US/BID-V1447/1998	Henn_2008	NCBI	1998-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	1998	47	47	47
EU529703.1	DENV-3/US/BID-V1090/1998	Henn_2008	NCBI	1998-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	1998	47	47	47
EU482558.1	DENV-3/US/BID-V1049/1998	Henn_2008	NCBI	1998-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	1998	47	47	47
EU482559.1	DENV-3/US/BID-V1050/1998	Henn_2008	NCBI	1998-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	1998	47	47	47
EU482563.1	DENV-3/US/BID-V1075/1998	Henn_2008	NCBI	1998-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	1998	47	47	47
EU482566.1	DENV-3/US/BID-V1088/1998	Henn_2008	NCBI	1998-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	1998	47	47	47
EU482596.1	DENV-3/US/BID-V859/1998	Henn_2008	NCBI	1998-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	1998	47	47	47
FJ547069.1	DENV-3/US/BID-V2098/1999	Henn_2009	NCBI	1999-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	1999	23	23	23
FJ390375.1	DENV-3/US/BID-V1735/1999	Henn_2008	NCBI	1999-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	1999	23	23	23
FJ390376.1	DENV-3/US/BID-V1736/1999	Henn_2008	NCBI	1999-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	1999	23	23	23
FJ390377.1	DENV-3/US/BID-V1737/1999	Henn_2008	NCBI	1999-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	1999	23	23	23
FJ205871.1	DENV-3/US/BID-V1733/1999	Henn_2008	NCBI	1999-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	1999	23	23	23
EU726773.1	DENV-3/US/BID-V1453/1999	Henn_2008	NCBI	1999-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	1999	23	23	23
EU726774.1	DENV-3/US/BID-V1454/1999	Henn_2008	NCBI	1999-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	1999	23	23	23
EU781136.1	DENV-3/US/BID-V1451/1999	Henn_2008	NCBI	1999-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	1999	23	23	23
EU781137.1	DENV-3/US/BID-V1452/1999	Henn_2008	NCBI	1999-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	1999	23	23	23
EU687219.1	DENV-3/US/BID-V1455/1999	Henn_2008	NCBI	1999-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	1999	23	23	23
EU687226.1	DENV-3/US/BID-V1466/1999	Henn_2008	NCBI	1999-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	1999	23	23	23
EU529696.1	DENV-3/US/BID-V1076/1999	Henn_2008	NCBI	1999-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	1999	23	23	23
AY099337.1	D3/H/IMTSSA-MART/1999/1243	Peyrefitte_2003	NCBI	1999-XX-XX	Martinique	3	3_III	0	1	0	0	1999	1	1	1
