"","strain","Sample_ID","Sample_Source","Data_Source","date","Location","Serotype","Sero_Geno","yale","caribbean","florida","cmplt_date","year","n_obs","n_obs_date"
"1","ON109597.1","ICIDR92","Medigeshi_2022","NCBI","2021-XX-XX","India","1","1_unassigned",0,0,0,0,"2021",36,3
"2","OK159945.1","RR031_126_SERa_31076_reads_nh","Bohl_2021","NCBI","2020-10-XX","Cambodia","1","1_I",0,0,0,0,"2020",30,29
"3","MZ291446.1","VI/Italy/2020","Barzon_2021","NCBI","2020-08-XX","Italy","1","1_I",0,0,0,0,"2020",1,1
"4","OL411495.1","109-0316_2020-07-13","Lay_2021","NCBI","2020-07-XX","Cambodia","1","1_I",0,0,0,0,"2020",30,29
"5","OL411497.1","109-0245_2020-03-04","Lay_2021","NCBI","2020-03-XX","Cambodia","1","1_I",0,0,0,0,"2020",30,29
"6","OK159960.1","109-0236_L001_56782_reads_nh","Bohl_2021","NCBI","2020-02-XX","Cambodia","1","1_I",0,0,0,0,"2020",30,29
"7","OK159961.1","109-0230_L001_56781_reads_nh","Bohl_2021","NCBI","2020-02-XX","Cambodia","1","1_I",0,0,0,0,"2020",30,29
"8","OK159968.1","RR031_110_SERa_31060_reads_nh","Bohl_2021","NCBI","2020-01-XX","Cambodia","1","1_I",0,0,0,0,"2020",30,29
"9","MN954554.1","19-5897-1","Munivenkatappa_2021","NCBI","2019-XX-XX","India","1","1_III_related",0,0,0,0,"2019",8,3
"10","MN954555.1","19-7168-2","Munivenkatappa_2021","NCBI","2019-XX-XX","India","1","1_III_related",0,0,0,0,"2019",8,3
"11","MW793710.1","YCH_D1_31_19consensus","Soe_2021","NCBI","2019-11-XX","Myanmar","1","1_I",0,0,0,0,"2019",26,22
"12","MW793692.1","YCH_D1_30_19consensus","Soe_2021","NCBI","2019-10-XX","Myanmar","1","1_I",0,0,0,0,"2019",26,22
"13","MW386862.1","YNBN01","Li_2020","NCBI","2019-10-XX","China","1","1_I",0,0,0,0,"2019",210,38
"14","MW386863.1","YNBN02","Li_2020","NCBI","2019-10-XX","China","1","1_I",0,0,0,0,"2019",210,38
"15","MW386864.1","YNBN03","Li_2020","NCBI","2019-10-XX","China","1","1_I",0,0,0,0,"2019",210,38
"16","MW386865.1","YNBN04","Li_2020","NCBI","2019-10-XX","China","1","1_I",0,0,0,0,"2019",210,38
"17","MW386866.1","YNDL01","Li_2020","NCBI","2019-10-XX","China","1","1_I",0,0,0,0,"2019",210,38
"18","MW386867.1","YNDL02","Li_2020","NCBI","2019-10-XX","China","1","1_I",0,0,0,0,"2019",210,38
"19","MW793691.1","YCH_D1_28_19consensus","Soe_2021","NCBI","2019-09-XX","Myanmar","1","1_I",0,0,0,0,"2019",26,22
"20","OK448162.1","10735","Liu_2021","NCBI","2019-09-XX","China","1","1_I",0,0,0,0,"2019",210,38
"21","OM033409.1","109-0129_L001","Chea_2022","NCBI","2019-09-XX","Cambodia","1","1_I",0,0,0,0,"2019",104,92
"22","MZ773407.1","AFI007","Cardona-Ospina_2021","NCBI","2019-09-XX","Colombia","1","1_V",0,0,0,0,"2019",2,2
"23","MW793686.1","YCH_D1_27_19consensus","Soe_2021","NCBI","2019-08-XX","Myanmar","1","1_I",0,0,0,0,"2019",26,22
"24","OL411498.1","109-0067_2019-08-13","Lay_2021","NCBI","2019-08-XX","Cambodia","1","1_I",0,0,0,0,"2019",104,92
"25","OK159935.1","RR031_270_SERa_31139_reads_nh","Bohl_2021","NCBI","2019-08-XX","Cambodia","1","1_I",0,0,0,0,"2019",104,92
"26","OK159946.1","RR031_078_SERa_31028_reads_nh","Bohl_2021","NCBI","2019-08-XX","Cambodia","1","1_I",0,0,0,0,"2019",104,92
"27","OK159947.1","RR031_074_SERa_31024_reads_nh","Bohl_2021","NCBI","2019-08-XX","Cambodia","1","1_I",0,0,0,0,"2019",104,92
"28","OK159948.1","RR031_073_SERa_31023_reads_nh","Bohl_2021","NCBI","2019-08-XX","Cambodia","1","1_I",0,0,0,0,"2019",104,92
"29","OK159949.1","RR031_068_SERa_31018_reads_nh","Bohl_2021","NCBI","2019-08-XX","Cambodia","1","1_I",0,0,0,0,"2019",104,92
"30","OK159950.1","RR031_057_SERa_31008_reads_nh","Bohl_2021","NCBI","2019-08-XX","Cambodia","1","1_I",0,0,0,0,"2019",104,92
"31","OK159951.1","RR031_056_SERa_31007_reads_nh","Bohl_2021","NCBI","2019-08-XX","Cambodia","1","1_I",0,0,0,0,"2019",104,92
"32","OK159952.1","RR031_052_SERa_31003_reads_nh","Bohl_2021","NCBI","2019-08-XX","Cambodia","1","1_I",0,0,0,0,"2019",104,92
"33","OK159953.1","RR031_050_SERa_31001_reads_nh","Bohl_2021","NCBI","2019-08-XX","Cambodia","1","1_I",0,0,0,0,"2019",104,92
"34","OK159954.1","RR031_048_SERa_30999_reads_nh","Bohl_2021","NCBI","2019-08-XX","Cambodia","1","1_I",0,0,0,0,"2019",104,92
"35","OK159955.1","RR031_042_SERa_30993_reads_nh","Bohl_2021","NCBI","2019-08-XX","Cambodia","1","1_I",0,0,0,0,"2019",104,92
"36","OK159962.1","RR031_267_SERa_31136_reads_nh","Bohl_2021","NCBI","2019-08-XX","Cambodia","1","1_I",0,0,0,0,"2019",104,92
"37","OK159964.1","RR031_163_SERa_31107_reads_nh","Bohl_2021","NCBI","2019-08-XX","Cambodia","1","1_I",0,0,0,0,"2019",104,92
"38","OK159969.1","RR031_105_SERa_31055_reads_nh","Bohl_2021","NCBI","2019-08-XX","Cambodia","1","1_I",0,0,0,0,"2019",104,92
"39","OK159970.1","RR031_086_SERa_31036_reads_nh","Bohl_2021","NCBI","2019-08-XX","Cambodia","1","1_I",0,0,0,0,"2019",104,92
"40","OK159971.1","RR031_081_SERa_31031_reads_nh","Bohl_2021","NCBI","2019-08-XX","Cambodia","1","1_I",0,0,0,0,"2019",104,92
"41","OK159972.1","RR031_080_SERa_31030_reads_nh","Bohl_2021","NCBI","2019-08-XX","Cambodia","1","1_I",0,0,0,0,"2019",104,92
"42","OK159973.1","RR031_055_SERa_31006_reads_nh","Bohl_2021","NCBI","2019-08-XX","Cambodia","1","1_I",0,0,0,0,"2019",104,92
"43","OK159974.1","RR031_034_SERa_30985_reads_nh","Bohl_2021","NCBI","2019-08-XX","Cambodia","1","1_I",0,0,0,0,"2019",104,92
"44","OL412140.1","622","Bohl_2021","NCBI","2019-08-XX","Cambodia","1","1_I",0,0,0,0,"2019",104,92
"45","MW793703.1","YCH_D1_26_19consensus","Soe_2021","NCBI","2019-07-XX","Myanmar","1","1_I",0,0,0,0,"2019",26,22
"46","OL411496.1","100-0642_2019-07-02","Lay_2021","NCBI","2019-07-XX","Cambodia","1","1_I",0,0,0,0,"2019",104,92
"47","OL411499.1","100-0610_2019-07-01","Lay_2021","NCBI","2019-07-XX","Cambodia","1","1_I",0,0,0,0,"2019",104,92
"48","MN577472.1","INMI1/DRC-2019","Colavita_2019","NCBI","2019-07-XX","Italy","1","1_unassigned",0,0,0,0,"2019",1,1
"49","OK159936.1","RR031_265_SERa_31134_reads_nh","Bohl_2021","NCBI","2019-07-XX","Cambodia","1","1_I",0,0,0,0,"2019",104,92
"50","OK159937.1","RR031_258_SERa_31129_reads_nh","Bohl_2021","NCBI","2019-07-XX","Cambodia","1","1_I",0,0,0,0,"2019",104,92
"51","OK159938.1","RR031_165_SERa_31109_reads_nh","Bohl_2021","NCBI","2019-07-XX","Cambodia","1","1_I",0,0,0,0,"2019",104,92
"52","OK159939.1","RR031_160_SERa_31104_reads_nh","Bohl_2021","NCBI","2019-07-XX","Cambodia","1","1_I",0,0,0,0,"2019",104,92
"53","OK159940.1","RR031_157_SERa_31101_reads_nh","Bohl_2021","NCBI","2019-07-XX","Cambodia","1","1_I",0,0,0,0,"2019",104,92
"54","OK159956.1","RR031_032_SERa_30983_reads_nh","Bohl_2021","NCBI","2019-07-XX","Cambodia","1","1_I",0,0,0,0,"2019",104,92
"55","OK159957.1","RR031_030_SERa_30981_reads_nh","Bohl_2021","NCBI","2019-07-XX","Cambodia","1","1_I",0,0,0,0,"2019",104,92
"56","OK159958.1","RR031_007_SERa_30958_reads_nh","Bohl_2021","NCBI","2019-07-XX","Cambodia","1","1_I",0,0,0,0,"2019",104,92
"57","OK159959.1","RR031_002_SERa_30953_reads_nh","Bohl_2021","NCBI","2019-07-XX","Cambodia","1","1_I",0,0,0,0,"2019",104,92
"58","OK159963.1","RR031_167_SERa_31111_reads_nh","Bohl_2021","NCBI","2019-07-XX","Cambodia","1","1_I",0,0,0,0,"2019",104,92
"59","OK159966.1","RR031_144_SERa_31087_reads_nh","Bohl_2021","NCBI","2019-07-XX","Cambodia","1","1_I",0,0,0,0,"2019",104,92
"60","OK159967.1","RR031_127_SERa_31077_reads_nh","Bohl_2021","NCBI","2019-07-XX","Cambodia","1","1_I",0,0,0,0,"2019",104,92
"61","OK159975.1","RR031_022_SERa_30973_reads_nh","Bohl_2021","NCBI","2019-07-XX","Cambodia","1","1_I",0,0,0,0,"2019",104,92
"62","OK159976.1","RR031_014_SERa_30965_reads_nh","Bohl_2021","NCBI","2019-07-XX","Cambodia","1","1_I",0,0,0,0,"2019",104,92
"63","OL412678.1","DENV1_011","Bohl_2021","NCBI","2019-07-XX","Cambodia","1","1_I",0,0,0,0,"2019",104,92
"64","OL412703.1","109_060","Bohl_2021","NCBI","2019-07-XX","Cambodia","1","1_I",0,0,0,0,"2019",104,92
"65","MW793698.1","YCH_D1_25_19consensus","Soe_2021","NCBI","2019-06-XX","Myanmar","1","1_I",0,0,0,0,"2019",26,22
"66","MN428889.1","HEB39","Liu_2021","NCBI","2019-06-XX","China","1","1_I",0,0,0,0,"2019",210,38
"67","OK159941.1","RR031_151_SERa_31095_reads_nh","Bohl_2021","NCBI","2019-06-XX","Cambodia","1","1_I",0,0,0,0,"2019",104,92
"68","OK159942.1","RR031_147_SERa_31091_reads_nh","Bohl_2021","NCBI","2019-06-XX","Cambodia","1","1_I",0,0,0,0,"2019",104,92
"69","OK159965.1","RR031_158_SERa_31102_reads_nh","Bohl_2021","NCBI","2019-06-XX","Cambodia","1","1_I",0,0,0,0,"2019",104,92
"70","MW828678.1","57BC","Sulthana_2021","NCBI","2019-05-XX","India","1","1_IV",0,0,0,0,"2019",8,3
"71","MW793705.1","YCH_D1_24_19consensus","Soe_2021","NCBI","2019-05-XX","Myanmar","1","1_I",0,0,0,0,"2019",26,22
"72","OK159943.1","RR031_140_SERa_31083_reads_nh","Bohl_2021","NCBI","2019-05-XX","Cambodia","1","1_I",0,0,0,0,"2019",104,92
"73","MW793684.1","YGH_D1_35_19consensus","Soe_2021","NCBI","2019-04-XX","Myanmar","1","1_I",0,0,0,0,"2019",26,22
"74","MW793706.1","YCH_D1_23_19consensus","Soe_2021","NCBI","2019-04-XX","Myanmar","1","1_I",0,0,0,0,"2019",26,22
"75","OK159944.1","RR031_138_SERa_31081_reads_nh","Bohl_2021","NCBI","2019-04-XX","Cambodia","1","1_I",0,0,0,0,"2019",104,92
"76","MW793690.1","YCH_D1_22_19consensus","Soe_2021","NCBI","2019-03-XX","Myanmar","1","1_I",0,0,0,0,"2019",26,22
"77","MW793688.1","YCH_D1-21_19consensus","Soe_2021","NCBI","2019-01-XX","Myanmar","1","1_I",0,0,0,0,"2019",26,22
"78","MW793699.1","YCH_D1_16_18consensus","Soe_2021","NCBI","2018-12-XX","Myanmar","1","1_I",0,0,0,0,"2018",47,47
"79","MW793704.1","YCH_D1_13_18consensus","Soe_2021","NCBI","2018-11-XX","Myanmar","1","1_I",0,0,0,0,"2018",47,47
"80","MW288032.1","SHC0513_/_DENV-1_/_2018","Gaye_2020","NCBI","2018-11-XX","Senegal","1","1_III_related",0,0,0,0,"2018",27,17
"81","MW288036.1","SHC0521_/_DENV-1_/_2018","Gaye_2020","NCBI","2018-11-XX","Senegal","1","1_III_related",0,0,0,0,"2018",27,17
"82","MN639764.1","DV09123","Sun_2019","NCBI","2018-10-XX","China","1","1_I",0,0,0,0,"2018",89,32
"83","MN639765.1","DV09231","Sun_2019","NCBI","2018-10-XX","China","1","1_I",0,0,0,0,"2018",89,32
"84","MN639766.1","DV061601","Sun_2019","NCBI","2018-10-XX","China","1","1_I",0,0,0,0,"2018",89,32
"85","MN639767.1","DV061606","Sun_2019","NCBI","2018-10-XX","China","1","1_I",0,0,0,0,"2018",89,32
"86","MN639768.1","DV101702","Sun_2019","NCBI","2018-10-XX","China","1","1_I",0,0,0,0,"2018",89,32
"87","MN639769.1","DV111503","Sun_2019","NCBI","2018-10-XX","China","1","1_I",0,0,0,0,"2018",89,32
"88","MW793702.1","YCH_D1_11_18consensus","Soe_2021","NCBI","2018-10-XX","Myanmar","1","1_I",0,0,0,0,"2018",47,47
"89","MW793682.1","YCH_D1_10_18_consensus","Soe_2021","NCBI","2018-09-XX","Myanmar","1","1_I",0,0,0,0,"2018",47,47
"90","MW793695.1","YGH_D1_20_18consensus","Soe_2021","NCBI","2018-08-XX","Myanmar","1","1_I",0,0,0,0,"2018",47,47
"91","MW793700.1","YGH_D1_19_18consensus","Soe_2021","NCBI","2018-08-XX","Myanmar","1","1_I",0,0,0,0,"2018",47,47
"92","MW793687.1","YCH_D1_7_18consensus","Soe_2021","NCBI","2018-07-XX","Myanmar","1","1_I",0,0,0,0,"2018",47,47
"93","MW793689.1","YCH_D1_4_18consensus","Soe_2021","NCBI","2018-07-XX","Myanmar","1","1_I",0,0,0,0,"2018",47,47
"94","MW793694.1","YCH_D1_8_18consensus","Soe_2021","NCBI","2018-07-XX","Myanmar","1","1_I",0,0,0,0,"2018",47,47
"95","MW793701.1","YCH_D1_6_18consensus","Soe_2021","NCBI","2018-07-XX","Myanmar","1","1_I",0,0,0,0,"2018",47,47
"96","MW793709.1","YCH_D1_1_18consensus","Soe_2021","NCBI","2018-07-XX","Myanmar","1","1_I",0,0,0,0,"2018",47,47
"97","MW793693.1","YGH_D1_17_18_consensus","Soe_2021","NCBI","2018-06-XX","Myanmar","1","1_I",0,0,0,0,"2018",47,47
"98","MW793685.1","YGH_22_18_consensus","Soe_2021","NCBI","2018-05-XX","Myanmar","1","1_I",0,0,0,0,"2018",47,47
"99","MW793681.1","YCH_39_18_consensus","Soe_2021","NCBI","2018-04-XX","Myanmar","1","1_I",0,0,0,0,"2018",47,47
"100","MW793680.1","YCH_7_18consensus","Soe_2021","NCBI","2018-01-XX","Myanmar","1","1_I",0,0,0,0,"2018",47,47
"101","LC428053.1","04-HD-015","Takemura_2019","NCBI","2017-XX-XX","Vietnam","1","1_I",0,0,0,0,"2017",234,28
"102","LC428054.1","11-HD-004","Takemura_2019","NCBI","2017-XX-XX","Vietnam","1","1_I",0,0,0,0,"2017",234,28
"103","LC428055.1","11-HD-001","Takemura_2019","NCBI","2017-XX-XX","Vietnam","1","1_I",0,0,0,0,"2017",234,28
"104","LC428056.1","04-HD-018","Takemura_2019","NCBI","2017-XX-XX","Vietnam","1","1_I",0,0,0,0,"2017",234,28
"105","LC428057.1","11-HD-006","Takemura_2019","NCBI","2017-XX-XX","Vietnam","1","1_I",0,0,0,0,"2017",234,28
"106","LC428058.1","01-TN-091","Takemura_2019","NCBI","2017-XX-XX","Vietnam","1","1_I",0,0,0,0,"2017",234,28
"107","LC428059.1","01-TN-040","Takemura_2019","NCBI","2017-XX-XX","Vietnam","1","1_I",0,0,0,0,"2017",234,28
"108","LC428060.1","04-HD-007","Takemura_2019","NCBI","2017-XX-XX","Vietnam","1","1_I",0,0,0,0,"2017",234,28
"109","LC428061.1","03-HD-009","Takemura_2019","NCBI","2017-XX-XX","Vietnam","1","1_I",0,0,0,0,"2017",234,28
"110","LC428062.1","01-TN-077","Takemura_2019","NCBI","2017-XX-XX","Vietnam","1","1_I",0,0,0,0,"2017",234,28
"111","LC428063.1","03-HD-019","Takemura_2019","NCBI","2017-XX-XX","Vietnam","1","1_I",0,0,0,0,"2017",234,28
"112","LC428064.1","09-HD-019","Takemura_2019","NCBI","2017-XX-XX","Vietnam","1","1_I",0,0,0,0,"2017",234,28
"113","LC428065.1","01-PK-90-L2","Takemura_2019","NCBI","2017-XX-XX","Vietnam","1","1_I",0,0,0,0,"2017",234,28
"114","LC428066.1","01-TN-083","Takemura_2019","NCBI","2017-XX-XX","Vietnam","1","1_I",0,0,0,0,"2017",234,28
"115","LC428067.1","01-TN-078","Takemura_2019","NCBI","2017-XX-XX","Vietnam","1","1_I",0,0,0,0,"2017",234,28
"116","LC428068.1","01-TN-087","Takemura_2019","NCBI","2017-XX-XX","Vietnam","1","1_I",0,0,0,0,"2017",234,28
"117","LC428069.1","03-HD-022","Takemura_2019","NCBI","2017-XX-XX","Vietnam","1","1_I",0,0,0,0,"2017",234,28
"118","LC428070.1","04-HD-009","Takemura_2019","NCBI","2017-XX-XX","Vietnam","1","1_I",0,0,0,0,"2017",234,28
"119","LC428071.1","03-HD-006","Takemura_2019","NCBI","2017-XX-XX","Vietnam","1","1_I",0,0,0,0,"2017",234,28
"120","LC428072.1","09-HD-013","Takemura_2019","NCBI","2017-XX-XX","Vietnam","1","1_I",0,0,0,0,"2017",234,28
"121","LC428073.1","01-TN-076","Takemura_2019","NCBI","2017-XX-XX","Vietnam","1","1_I",0,0,0,0,"2017",234,28
"122","LC428074.1","01-TN-081","Takemura_2019","NCBI","2017-XX-XX","Vietnam","1","1_I",0,0,0,0,"2017",234,28
"123","LC428075.1","03-HD-002","Takemura_2019","NCBI","2017-XX-XX","Vietnam","1","1_I",0,0,0,0,"2017",234,28
"124","LC428076.1","03-HD-014","Takemura_2019","NCBI","2017-XX-XX","Vietnam","1","1_I",0,0,0,0,"2017",234,28
"125","LC428077.1","01-TN-088","Takemura_2019","NCBI","2017-XX-XX","Vietnam","1","1_I",0,0,0,0,"2017",234,28
"126","LC428078.1","04-HD-010","Takemura_2019","NCBI","2017-XX-XX","Vietnam","1","1_I",0,0,0,0,"2017",234,28
"127","LC428079.1","01-TN-056","Takemura_2019","NCBI","2017-XX-XX","Vietnam","1","1_I",0,0,0,0,"2017",234,28
"128","LC428080.1","08-HD-001","Takemura_2019","NCBI","2017-XX-XX","Vietnam","1","1_I",0,0,0,0,"2017",234,28
"129","MG840575.1","D1/China/GDdg/D17018/2017/Tailand/","De_2019","NCBI","2017-XX-XX","China","1","1_I",0,0,0,0,"2017",177,80
"130","MG840576.1","D1/China/GDgz/D17090","De_2019","NCBI","2017-XX-XX","China","1","1_I",0,0,0,0,"2017",177,80
"131","MG840577.1","D1/China/GDfs/D17103","De_2019","NCBI","2017-XX-XX","China","1","1_I",0,0,0,0,"2017",177,80
"132","MG840578.1","D1/China/GDzj/D17112","De_2019","NCBI","2017-XX-XX","China","1","1_I",0,0,0,0,"2017",177,80
"133","MG840579.1","D1/China/GDfs/D17026/Malaysia/","De_2019","NCBI","2017-XX-XX","China","1","1_IV",0,0,0,0,"2017",177,80
"134","MG840580.1","D1/China/GDdg/D17037/Malaysia/","De_2019","NCBI","2017-XX-XX","China","1","1_I",0,0,0,0,"2017",177,80
"135","LC436668.1","B17-1547","Suzuki_2020","NCBI","2017-11-XX","Bangladesh","1","1_III_related",0,0,0,0,"2017",11,11
"136","LC436667.1","B17-1387","Suzuki_2020","NCBI","2017-10-XX","Bangladesh","1","1_III_related",0,0,0,0,"2017",11,11
"137","MW191725.1","6454","Tiraki_2021","NCBI","2017-09-XX","India","1","1_III_related",0,0,0,0,"2017",27,6
"138","MW793679.1","YCH_330_17consensus","Soe_2021","NCBI","2017-09-XX","Myanmar","1","1_I",0,0,0,0,"2017",31,27
"139","MW793696.1","YGH_56_17consensus","Soe_2021","NCBI","2017-09-XX","Myanmar","1","1_I",0,0,0,0,"2017",31,27
"140","MW191724.1","6425","Tiraki_2021","NCBI","2017-08-XX","India","1","1_III_related",0,0,0,0,"2017",27,6
"141","MW793678.1","YCH_154_17consensus","Soe_2021","NCBI","2017-07-XX","Myanmar","1","1_I",0,0,0,0,"2017",31,27
"142","MW793683.1","YCH_272_17consensus","Soe_2021","NCBI","2017-07-XX","Myanmar","1","1_I",0,0,0,0,"2017",31,27
"143","MW793708.1","YCH_197_17_consensus","Soe_2021","NCBI","2017-07-XX","Myanmar","1","1_I",0,0,0,0,"2017",31,27
"144","MW793697.1","YCH_62_17consensus","Soe_2021","NCBI","2017-06-XX","Myanmar","1","1_I",0,0,0,0,"2017",31,27
"145","MW793707.1","YCH_80_17consensus","Soe_2021","NCBI","2017-06-XX","Myanmar","1","1_I",0,0,0,0,"2017",31,27
"146","LC410183.1","Th17-087DV1","Phadungsombat_2018","NCBI","2017-04-XX","Thailand","1","1_I",0,0,0,0,"2017",8,8
"147","MN556095.1","EC0426-1/seq/01","Ortega-Lopez_2020","NCBI","2017-04-XX","Ecuador","1","1_V",0,0,0,0,"2017",1,1
"148","MN018289.1","D16009","Wu_2020","NCBI","2016-XX-XX","China","1","1_I",0,0,0,0,"2016",61,17
"149","MH921567.1","PNG_2016","Pyke_2018","NCBI","2016-XX-XX","Australia","1","1_IV",0,0,0,0,"2016",4,4
"150","MG721060.1","R1_J47","Pattabiraman_2019","NCBI","2016-XX-XX","India","1","1_III_related",0,0,0,0,"2016",75,26
"151","MG721063.1","R1_J10","Pattabiraman_2019","NCBI","2016-XX-XX","India","1","1_III_related",0,0,0,0,"2016",75,26
"152","DH143","I - 001","Ott_2022","Yale","2016-XX-XX","Mexico","1","1_V",0,0,0,0,"2016",1,1
"153","MF314188.1","2016_Singapore_DENV-1_NPHL","Fong_2018","NCBI","2016-XX-XX","Singapore","1","1_I",0,0,0,0,"2016",47,45
"154","MG840561.1","D1/China/GDdg/D16001/2016/Brazil/","De_2019","NCBI","2016-XX-XX","China","1","1_I",0,0,0,0,"2016",61,17
"155","MG840562.1","D1/China/GDdg/D16007/2016/Malasia/","De_2019","NCBI","2016-XX-XX","China","1","1_I",0,0,0,0,"2016",61,17
"156","MG840563.1","D1/China/GDsd/D16008/2016/Malasia/Idonesia/","De_2019","NCBI","2016-XX-XX","China","1","1_I",0,0,0,0,"2016",61,17
"157","MG840564.1","D1/China/GDgz/D16017/2016","De_2019","NCBI","2016-XX-XX","China","1","1_I",0,0,0,0,"2016",61,17
"158","MG840565.1","D1/China/GDsz/D16025/2016/Bali/","De_2019","NCBI","2016-XX-XX","China","1","1_I",0,0,0,0,"2016",61,17
"159","MG840566.1","D1/China/GDst/D16048/2016","De_2019","NCBI","2016-XX-XX","China","1","1_I",0,0,0,0,"2016",61,17
"160","MG840567.1","D1/China/GDst/D16061/2016/Philippines/","De_2019","NCBI","2016-XX-XX","China","1","1_IV",0,0,0,0,"2016",61,17
"161","MG840568.1","D1/China/GDcz/D16152/2016","De_2019","NCBI","2016-XX-XX","China","1","1_III_related",0,0,0,0,"2016",61,17
"162","MG840569.1","D1/China/GDzs/D16163/2016/Vietnam/","De_2019","NCBI","2016-XX-XX","China","1","1_I",0,0,0,0,"2016",61,17
"163","MG840570.1","D1/China/GDzs/D16164/2016/Vietnam/","De_2019","NCBI","2016-XX-XX","China","1","1_I",0,0,0,0,"2016",61,17
"164","MG840571.1","D1/China/GDzs/D16165/2016/Bali/","De_2019","NCBI","2016-XX-XX","China","1","1_I",0,0,0,0,"2016",61,17
"165","MG840572.1","D1/China/GDzs/D16166/2016/Indonesia/","De_2019","NCBI","2016-XX-XX","China","1","1_I",0,0,0,0,"2016",61,17
"166","MG840573.1","D1/China/GDzs/D16167/2016/Malaysia/","De_2019","NCBI","2016-XX-XX","China","1","1_I",0,0,0,0,"2016",61,17
"167","MG840574.1","D1/China/GDdg/D16216/2016/Philippines/","De_2019","NCBI","2016-XX-XX","China","1","1_IV",0,0,0,0,"2016",61,17
"168","OK040059.1","KAJP18_DENV1_Kenya_Eastern.Africa_2016","Alfsnes_2021","NCBI","2016-XX-XX","Kenya","1","1_III_related",0,0,0,0,"2016",4,1
"169","MF033261.1","51870","Koo_2018","NCBI","2016-12-XX","Singapore","1","1_III_related",0,0,0,0,"2016",47,45
"170","KY496854.1","D1/Taiwan/114TP1611a","Yang_2017","NCBI","2016-11-XX","Taiwan","1","1_IV",0,0,0,0,"2016",2,2
"171","MF033259.1","44259","Koo_2018","NCBI","2016-11-XX","Singapore","1","1_I",0,0,0,0,"2016",47,45
"172","MF033260.1","48555","Koo_2018","NCBI","2016-11-XX","Singapore","1","1_I",0,0,0,0,"2016",47,45
"173","KY496855.1","D1/Philippines/1610cTw","Yang_2017","NCBI","2016-10-XX","Taiwan","1","1_IV",0,0,0,0,"2016",2,2
"174","MF033258.1","42327","Koo_2018","NCBI","2016-10-XX","Singapore","1","1_I",0,0,0,0,"2016",47,45
"175","MK588396.1","SJ290","Pattabiraman_2020","NCBI","2016-09-XX","India","1","1_III_related",0,0,0,0,"2016",75,26
"176","MW191720.1","S10","Tiraki_2021","NCBI","2016-08-XX","India","1","1_III_related",0,0,0,0,"2016",75,26
"177","MW191721.1","S16","Tiraki_2021","NCBI","2016-08-XX","India","1","1_III_related",0,0,0,0,"2016",75,26
"178","MW191722.1","S19","Tiraki_2021","NCBI","2016-08-XX","India","1","1_III_related",0,0,0,0,"2016",75,26
"179","MF033255.1","31808","Koo_2018","NCBI","2016-08-XX","Singapore","1","1_III_related",0,0,0,0,"2016",47,45
"180","MF033256.1","31460","Koo_2018","NCBI","2016-08-XX","Singapore","1","1_III_related",0,0,0,0,"2016",47,45
"181","MF033257.1","34427","Koo_2018","NCBI","2016-08-XX","Singapore","1","1_I",0,0,0,0,"2016",47,45
"182","MW191723.1","S5","Tiraki_2021","NCBI","2016-07-XX","India","1","1_III_related",0,0,0,0,"2016",75,26
"183","MF033254.1","25657","Koo_2018","NCBI","2016-06-XX","Singapore","1","1_I",0,0,0,0,"2016",47,45
"184","MF033253.1","19492","Koo_2018","NCBI","2016-05-XX","Singapore","1","1_III_related",0,0,0,0,"2016",47,45
"185","MF033252.1","15628","Koo_2018","NCBI","2016-04-XX","Singapore","1","1_III_related",0,0,0,0,"2016",47,45
"186","MF033250.1","9778","Koo_2018","NCBI","2016-03-XX","Singapore","1","1_I",0,0,0,0,"2016",47,45
"187","MF033251.1","13085","Koo_2018","NCBI","2016-03-XX","Singapore","1","1_III_related",0,0,0,0,"2016",47,45
"188","MF033244.1","5486","Koo_2018","NCBI","2016-02-XX","Singapore","1","1_I",0,0,0,0,"2016",47,45
"189","MF033245.1","5372","Koo_2018","NCBI","2016-02-XX","Singapore","1","1_I",0,0,0,0,"2016",47,45
"190","MF033246.1","5696","Koo_2018","NCBI","2016-02-XX","Singapore","1","1_I",0,0,0,0,"2016",47,45
"191","MF033247.1","7980","Koo_2018","NCBI","2016-02-XX","Singapore","1","1_I",0,0,0,0,"2016",47,45
"192","MF033248.1","7581","Koo_2018","NCBI","2016-02-XX","Singapore","1","1_I",0,0,0,0,"2016",47,45
"193","MF033249.1","8826","Koo_2018","NCBI","2016-02-XX","Singapore","1","1_I",0,0,0,0,"2016",47,45
"194","LC128301.1","D1/Hu/Philippines/NIID13/2016","Tajima_2016","NCBI","2016-01-XX","Philippines","1","1_IV",0,0,0,0,"2016",1,1
"195","MF033243.1","3720","Koo_2018","NCBI","2016-01-XX","Singapore","1","1_III_related",0,0,0,0,"2016",47,45
"196","KX225483.1","GZ8_2/S/Yuexiu/2014/DEV1","Zhao_2017","NCBI","2015-XX-XX","China","1","1_III_related",0,0,0,0,"2015",148,67
"197","KX225484.1","GZ8_9/S/Yuexiu/2014/DEV1","Zhao_2017","NCBI","2015-XX-XX","China","1","1_III_related",0,0,0,0,"2015",148,67
"198","KX225487.1","GZ8_53/S/Liwan/2013/DEV1","Zhao_2017","NCBI","2015-XX-XX","China","1","1_III_related",0,0,0,0,"2015",148,67
